Date : 2023-11-23 16:35:13
Directory : /Users/onozeki/Documents/GitHub/Project_Sota
Total : 85 files,  3867 codes, 456 comments, 495 blanks, all 4818 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Java         |         78 |      3,725 |        452 |        451 |      4,628 |
| XML          |          1 |         98 |          4 |         23 |        125 |
| Shell Script |          5 |         33 |          0 |         12 |         45 |
| Markdown     |          1 |         11 |          0 |          9 |         20 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |         85 |      3,867 |        456 |        495 |      4,818 |
| . (Files)                                                                                                                           |          1 |         11 |          0 |          9 |         20 |
| SotaSample-master                                                                                                                   |         84 |      3,856 |        456 |        486 |      4,798 |
| SotaSample-master (Files)                                                                                                           |          1 |         98 |          4 |         23 |        125 |
| SotaSample-master/SotaSample-master                                                                                                 |         18 |        617 |          0 |          0 |        617 |
| SotaSample-master/SotaSample-master/bin                                                                                             |         18 |        617 |          0 |          0 |        617 |
| SotaSample-master/SotaSample-master/bin/jp                                                                                          |         18 |        617 |          0 |          0 |        617 |
| SotaSample-master/SotaSample-master/bin/jp/vstone                                                                                   |         18 |        617 |          0 |          0 |        617 |
| SotaSample-master/SotaSample-master/bin/jp/vstone/commusample                                                                       |          1 |         46 |          0 |          0 |         46 |
| SotaSample-master/SotaSample-master/bin/jp/vstone/commutest                                                                         |          3 |        154 |          0 |          0 |        154 |
| SotaSample-master/SotaSample-master/bin/jp/vstone/sotasample                                                                        |          8 |        219 |          0 |          0 |        219 |
| SotaSample-master/SotaSample-master/bin/jp/vstone/sotatest                                                                          |          6 |        198 |          0 |          0 |        198 |
| SotaSample-master/bin                                                                                                               |         27 |        888 |          0 |          7 |        895 |
| SotaSample-master/bin (Files)                                                                                                       |          2 |         12 |          0 |          5 |         17 |
| SotaSample-master/bin/Self_code                                                                                                     |          6 |        196 |          0 |          2 |        198 |
| SotaSample-master/bin/jp                                                                                                            |         19 |        680 |          0 |          0 |        680 |
| SotaSample-master/bin/jp/vstone                                                                                                     |         19 |        680 |          0 |          0 |        680 |
| SotaSample-master/bin/jp/vstone/commusample                                                                                         |          1 |         46 |          0 |          0 |         46 |
| SotaSample-master/bin/jp/vstone/commutest                                                                                           |          3 |        154 |          0 |          0 |        154 |
| SotaSample-master/bin/jp/vstone/sotasample                                                                                          |          9 |        282 |          0 |          0 |        282 |
